timestamp,symbol,open,high,low,close
2026-01-01T00:00:00Z,BTC,100.00,100.15,99.90,100.05
2026-01-01T01:00:00Z,BTC,100.02,100.17,99.92,100.07
2026-01-01T02:00:00Z,BTC,100.04,100.19,99.94,100.09
2026-01-01T03:00:00Z,BTC,100.06,100.21,99.96,100.11
2026-01-01T04:00:00Z,BTC,100.08,100.23,99.98,100.13
2026-01-01T05:00:00Z,BTC,100.10,100.25,100.00,100.15
2026-01-01T06:00:00Z,BTC,100.12,100.27,100.02,100.17
2026-01-01T07:00:00Z,BTC,100.14,100.29,100.04,100.19
2026-01-01T08:00:00Z,BTC,100.16,100.31,100.06,100.21
2026-01-01T09:00:00Z,BTC,100.18,100.33,100.08,100.23
2026-01-01T10:00:00Z,BTC,100.20,100.35,100.10,100.25
2026-01-01T11:00:00Z,BTC,100.22,100.37,100.12,100.27
2026-01-01T12:00:00Z,BTC,100.24,100.39,100.14,100.29
2026-01-01T13:00:00Z,BTC,100.26,100.41,100.16,100.31
2026-01-01T14:00:00Z,BTC,100.28,100.43,100.18,100.33
2026-01-01T15:00:00Z,BTC,100.30,100.45,100.20,100.35
2026-01-01T16:00:00Z,BTC,100.32,100.47,100.22,100.37
2026-01-01T17:00:00Z,BTC,100.34,100.49,100.24,100.39
2026-01-01T18:00:00Z,BTC,100.36,100.51,100.26,100.41
2026-01-01T19:00:00Z,BTC,100.38,100.53,100.28,100.43
2026-01-01T20:00:00Z,BTC,100.40,100.55,100.30,100.45
2026-01-01T21:00:00Z,BTC,100.42,100.57,100.32,100.47
2026-01-01T22:00:00Z,BTC,100.44,100.59,100.34,100.49
2026-01-01T23:00:00Z,BTC,100.46,100.61,100.36,100.51
2026-01-02T00:00:00Z,BTC,100.48,100.63,100.38,100.53
2026-01-02T01:00:00Z,BTC,100.50,100.65,100.40,100.55
2026-01-02T02:00:00Z,BTC,100.52,100.67,100.42,100.57
2026-01-02T03:00:00Z,BTC,100.54,100.69,100.44,100.59
2026-01-02T04:00:00Z,BTC,100.56,100.71,100.46,100.61
2026-01-02T05:00:00Z,BTC,100.58,100.73,100.48,100.63
