timestamp,symbol,open,high,low,close,volume
2026-01-01T00:00:00Z,BTC,100.00,100.10,99.98,100.06,120
2026-01-01T00:05:00Z,BTC,100.06,100.18,100.02,100.14,140
2026-01-01T00:10:00Z,BTC,100.14,100.20,100.08,100.10,130
2026-01-01T00:15:00Z,BTC,100.10,100.26,100.06,100.22,150
2026-01-01T00:20:00Z,BTC,100.22,100.30,100.16,100.18,110
2026-01-01T00:25:00Z,BTC,100.18,100.34,100.14,100.28,170
2026-01-01T00:30:00Z,BTC,100.28,100.36,100.20,100.24,125
2026-01-01T00:35:00Z,BTC,100.24,100.40,100.22,100.32,145
2026-01-01T00:40:00Z,BTC,100.32,100.42,100.28,100.38,155
2026-01-01T00:45:00Z,BTC,100.38,100.46,100.30,100.34,118
2026-01-01T00:50:00Z,BTC,100.34,100.50,100.32,100.44,165
2026-01-01T00:55:00Z,BTC,100.44,100.54,100.40,100.48,150
2026-01-01T01:00:00Z,BTC,100.48,100.58,100.42,100.52,160
2026-01-01T01:05:00Z,BTC,100.52,100.66,100.48,100.62,175
2026-01-01T01:10:00Z,BTC,100.62,100.70,100.56,100.58,130
2026-01-01T01:15:00Z,BTC,100.58,100.76,100.54,100.68,185
