timestamp,symbol,open,high,low,close,volume
2026-01-01T00:00:00Z,ETH,200.00,200.08,199.98,200.04,24
2026-01-01T00:01:00Z,ETH,200.04,200.11,200.00,200.08,22
2026-01-01T00:02:00Z,ETH,200.08,200.15,200.04,200.11,26
2026-01-01T00:03:00Z,ETH,200.11,200.18,200.07,200.15,20
2026-01-01T00:04:00Z,ETH,200.15,200.21,200.10,200.18,28
2026-01-01T01:00:00Z,ETH,200.48,200.58,200.44,200.53,140
2026-01-01T01:01:00Z,ETH,200.53,200.60,200.48,200.57,150
2026-01-01T01:02:00Z,ETH,200.57,200.64,200.52,200.61,165
2026-01-01T01:03:00Z,ETH,200.61,200.68,200.56,200.65,155
2026-01-01T01:04:00Z,ETH,200.65,200.71,200.60,200.67,145
