timestamp,markPx,oraclePx,funding,openInterest,spreadBps,spotPx
2026-01-01T00:00:00Z,50.12,50.00,0.00018,800,3.2,50.01
2026-01-01T01:00:00Z,50.14,50.02,0.00018,806,3.2,50.03
2026-01-01T02:00:00Z,50.16,50.04,0.00018,812,3.2,50.05
2026-01-01T03:00:00Z,50.18,50.06,0.00018,818,3.2,50.07
2026-01-01T04:00:00Z,50.20,50.08,0.00018,824,3.2,50.09
2026-01-01T05:00:00Z,50.22,50.10,0.00018,830,3.2,50.11
2026-01-01T06:00:00Z,50.24,50.12,0.00018,836,3.2,50.13
2026-01-01T07:00:00Z,50.26,50.14,0.00018,842,3.2,50.15
2026-01-01T08:00:00Z,50.28,50.16,0.00018,848,3.2,50.17
2026-01-01T09:00:00Z,50.30,50.18,0.00018,854,3.2,50.19
2026-01-01T10:00:00Z,50.32,50.20,0.00018,860,3.2,50.21
2026-01-01T11:00:00Z,50.34,50.22,0.00018,866,3.2,50.23
2026-01-01T12:00:00Z,50.36,50.24,0.00018,872,3.2,50.25
2026-01-01T13:00:00Z,50.38,50.26,0.00018,878,3.2,50.27
2026-01-01T14:00:00Z,50.40,50.28,0.00018,884,3.2,50.29
2026-01-01T15:00:00Z,50.42,50.30,0.00018,890,3.2,50.31
2026-01-01T16:00:00Z,50.44,50.32,0.00018,896,3.2,50.33
2026-01-01T17:00:00Z,50.46,50.34,0.00018,902,3.2,50.35
2026-01-01T18:00:00Z,50.48,50.36,0.00009,908,3.2,50.37
2026-01-01T19:00:00Z,50.50,50.38,0.00009,914,3.2,50.39
2026-01-01T20:00:00Z,50.52,50.40,0.00009,920,3.2,50.41
2026-01-01T21:00:00Z,50.54,50.42,0.00009,926,3.2,50.43
2026-01-01T22:00:00Z,50.56,50.44,0.00009,932,3.2,50.45
2026-01-01T23:00:00Z,50.58,50.46,0.00009,938,3.2,50.47
