timestamp,symbol,open,high,low,close,volume
2026-01-01T00:00:00Z,BTC,100.00,100.05,99.99,100.03,20
2026-01-01T00:01:00Z,BTC,100.03,100.08,100.01,100.07,15
2026-01-01T00:02:00Z,BTC,100.07,100.09,100.02,100.04,30
2026-01-01T00:03:00Z,BTC,100.04,100.12,100.03,100.10,10
2026-01-01T00:04:00Z,BTC,100.10,100.13,100.06,100.08,25
2026-01-01T01:00:00Z,BTC,100.48,100.58,100.42,100.52,160
2026-01-01T01:01:00Z,BTC,100.52,100.60,100.48,100.55,170
2026-01-01T01:02:00Z,BTC,100.55,100.63,100.51,100.58,180
2026-01-01T01:03:00Z,BTC,100.58,100.66,100.54,100.62,175
2026-01-01T01:04:00Z,BTC,100.62,100.68,100.57,100.60,165
