timestamp,symbol,open,high,low,close,volume
2026-01-01T00:00:00Z,HYPE,50.00,50.04,49.99,50.02,60
2026-01-01T00:01:00Z,HYPE,50.02,50.06,50.00,50.04,58
2026-01-01T00:02:00Z,HYPE,50.04,50.08,50.02,50.06,62
2026-01-01T00:03:00Z,HYPE,50.06,50.10,50.04,50.08,55
2026-01-01T00:04:00Z,HYPE,50.08,50.12,50.06,50.10,64
2026-01-01T01:00:00Z,HYPE,50.24,50.28,50.22,50.26,95
2026-01-01T01:01:00Z,HYPE,50.26,50.30,50.24,50.28,98
2026-01-01T01:02:00Z,HYPE,50.28,50.32,50.26,50.30,102
2026-01-01T01:03:00Z,HYPE,50.30,50.34,50.28,50.32,97
2026-01-01T01:04:00Z,HYPE,50.32,50.36,50.30,50.34,94
